1;Alabama
2;Alaska
3;Alberta
4;Arizona
5;Arkansas
6;British Columbia
7;California
8;Colorado
9;Connecticut
10;DC
11;Delaware
12;Florida
13;Georgia
14;Hawaii
15;Idaho
16;Illinois
17;Indiana
18;Iowa
19;Kansas
20;Kentucky
21;Louisiana
22;Maine
23;Manitoba
24;Maryland
25;Massachusetts
26;Michigan
27;Minnesota
28;Mississippi
29;Missouri
30;Montana
31;Nebraska
32;Nevada
33;New Hampshire
34;New Jersey
35;New Mexico
36;New York
37;Newfoundland and Labrador
38;North Carolina
39;North Dakota
40;Nova Scotia
41;Ohio
42;Oklahoma
43;Ontario
44;Oregon
45;Pennsylvania
46;Prince Edward Island
47;Puerto Rico
48;Quebec
49;Rhode Island
50;Saskatchewan
51;South Carolina
52;South Dakota
53;Tennessee
54;Texas
55;Utah
56;Vermont
57;Virgin Islands
58;Virginia
59;Washington
60;West Virginia
61;Wisconsin
62;Wyoming
